Date : 2021-05-11 23:02:47
Directory : ./
Total : 764 files,  103643 codes, 40894 comments, 28426 blanks, all 172963 lines, 28.29% comment rate

Languages
+------------------+------------+------------+------------+------------+------------+--------------+
| language         | files      | code       | comment    | blank      | total      | comment rate |
+------------------+------------+------------+------------+------------+------------+--------------+
| C++              |        556 |     69,339 |     26,220 |     19,450 |    115,009 |       27.44% |
| C                |         85 |     29,181 |     12,047 |      6,957 |     48,185 |       29.22% |
| Python           |         31 |      1,206 |        303 |        343 |      1,852 |       20.08% |
| CMake            |          9 |        727 |          0 |        107 |        834 |        0.00% |
| Objective-C      |          8 |        618 |          0 |        100 |        718 |        0.00% |
| Markdown         |         14 |        496 |          0 |        238 |        734 |        0.00% |
| Julia            |          4 |        458 |        103 |        182 |        743 |       18.36% |
| YAML             |         17 |        341 |        186 |         90 |        617 |       35.29% |
| Makefile         |          9 |        336 |        316 |        169 |        821 |       48.47% |
| Properties       |          2 |        332 |      1,604 |        562 |      2,498 |       82.85% |
| Shell Script     |         22 |        330 |         90 |        133 |        553 |       21.43% |
| Batch            |          4 |        141 |          0 |         43 |        184 |        0.00% |
| CSS              |          1 |        118 |         25 |         49 |        192 |       17.48% |
| HTML             |          1 |         19 |          0 |          2 |         21 |        0.00% |
| pip requirements |          1 |          1 |          0 |          1 |          2 |        0.00% |
+------------------+------------+------------+------------+------------+------------+--------------+

Directories
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+--------------+
| path                                                                              | files      | code       | comment    | blank      | total      | comment rate |
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+--------------+
| .                                                                                 |        764 |    103,643 |     40,894 |     28,426 |    172,963 |       28.29% |
| third-party                                                                       |        435 |     74,769 |     33,928 |     21,136 |    129,833 |       31.21% |
| third-party/qpOASES                                                               |         58 |     19,943 |      7,784 |      6,019 |     33,746 |       28.07% |
| third-party/qpOASES/src                                                           |         19 |     16,133 |      3,388 |      4,206 |     23,727 |       17.36% |
| third-party/vectornav                                                             |         46 |     15,416 |      6,222 |      4,005 |     25,643 |       28.75% |
| third-party/vectornav/src/vn                                                      |         18 |     11,870 |        483 |      2,695 |     15,048 |        3.91% |
| third-party/vectornav/src                                                         |         18 |     11,870 |        483 |      2,695 |     15,048 |        3.91% |
| third-party/osqp                                                                  |        132 |     11,008 |      6,402 |      4,299 |     21,709 |       36.77% |
| common                                                                            |        112 |     10,932 |      3,593 |      2,581 |     17,106 |       24.74% |
| user                                                                              |        114 |      9,618 |      2,001 |      2,775 |     14,394 |       17.22% |
| user/MIT_Controller                                                               |        103 |      9,374 |      1,967 |      2,696 |     14,037 |       17.34% |
| third-party/ParamHandler                                                          |         92 |      8,570 |        663 |      1,894 |     11,127 |        7.18% |
| third-party/SOEM                                                                  |         26 |      7,020 |      3,274 |        760 |     11,054 |       31.80% |
| user/MIT_Controller/Controllers                                                   |         71 |      6,758 |        889 |      1,857 |      9,504 |       11.63% |
| third-party/vectornav/src/vn/protocol                                             |          3 |      6,725 |        126 |      1,276 |      8,127 |        1.84% |
| third-party/SOEM/soem                                                             |         19 |      6,280 |      2,761 |        631 |      9,672 |       30.54% |
| third-party/lord_imu                                                              |         37 |      5,664 |      7,129 |      2,627 |     15,420 |       55.73% |
| third-party/ParamHandler/src                                                      |         52 |      5,648 |        457 |      1,212 |      7,317 |        7.49% |
| common/include                                                                    |         54 |      4,176 |      1,719 |      1,005 |      6,900 |       29.16% |
| third-party/osqp/lin_sys                                                          |         47 |      4,085 |      2,442 |      1,259 |      7,786 |       37.41% |
| third-party/JCQP                                                                  |         36 |      4,022 |      2,148 |      1,015 |      7,185 |       34.81% |
| third-party/osqp/lin_sys/direct                                                   |         45 |      3,941 |      2,413 |      1,231 |      7,585 |       37.98% |
| sim                                                                               |         24 |      3,741 |        581 |        814 |      5,136 |       13.44% |
| third-party/osqp/lin_sys/direct/qdldl                                             |         41 |      3,660 |      2,299 |      1,127 |      7,086 |       38.58% |
| common/src                                                                        |         30 |      3,643 |      1,240 |        807 |      5,690 |       25.39% |
| third-party/lord_imu/Source                                                       |         11 |      3,638 |      5,548 |      1,572 |     10,758 |       60.40% |
| third-party/qpOASES/include                                                       |         33 |      3,563 |      4,135 |      1,686 |      9,384 |       53.72% |
| third-party/vectornav/include/vn                                                  |         28 |      3,546 |      5,739 |      1,310 |     10,595 |       61.81% |
| third-party/vectornav/include                                                     |         28 |      3,546 |      5,739 |      1,310 |     10,595 |       61.81% |
| third-party/qpOASES/include/qpOASES                                               |         32 |      3,530 |      4,107 |      1,673 |      9,310 |       53.78% |
| third-party/osqp/src                                                              |         11 |      3,030 |        734 |        936 |      4,700 |       19.50% |
| sim/src                                                                           |         13 |      2,998 |        412 |        587 |      3,997 |       12.08% |
| third-party/Goldfarb_Optimizer                                                    |          4 |      2,836 |        214 |        451 |      3,501 |        7.02% |
| common/test                                                                       |         25 |      2,820 |        632 |        722 |      4,174 |       18.31% |
| third-party/ParamHandler/dynacore_yaml-cpp                                        |         37 |      2,764 |        206 |        633 |      3,603 |        6.94% |
| user/MIT_Controller/FSM_States                                                    |         28 |      2,428 |      1,046 |        798 |      4,272 |       30.11% |
| third-party/JCQP/amd                                                              |         17 |      2,366 |      1,824 |        597 |      4,787 |       43.53% |
| robot                                                                             |         23 |      2,351 |        500 |        564 |      3,415 |       17.54% |
| third-party/osqp/lin_sys/direct/qdldl/amd                                         |         15 |      2,250 |      1,772 |        539 |      4,561 |       44.06% |
| robot/src                                                                         |         11 |      1,939 |        417 |        428 |      2,784 |       17.70% |
| third-party/osqp/tests                                                            |         35 |      1,924 |        518 |        737 |      3,179 |       21.21% |
| third-party/vectornav/include/vn/protocol                                         |          4 |      1,876 |      3,892 |        515 |      6,283 |       67.48% |
| third-party/JCQP/amd/src                                                          |         12 |      1,835 |      1,337 |        414 |      3,586 |       42.15% |
| third-party/osqp/lin_sys/direct/qdldl/amd/src                                     |         12 |      1,835 |      1,337 |        414 |      3,586 |       42.15% |
| user/MIT_Controller/Controllers/BalanceController                                 |          8 |      1,825 |        300 |        514 |      2,639 |       14.12% |
| user/MIT_Controller/Controllers/convexMPC                                         |         13 |      1,629 |        152 |        402 |      2,183 |        8.53% |
| third-party/ParamHandler/dynacore_yaml-cpp/node                                   |         17 |      1,619 |        108 |        350 |      2,077 |        6.25% |
| third-party/lord_imu/Include                                                      |         23 |      1,599 |      1,561 |        951 |      4,111 |       49.40% |
| user/MIT_Controller/Controllers/WBC_Ctrl                                          |         28 |      1,227 |        215 |        381 |      1,823 |       14.91% |
| common/include/Utilities                                                          |         12 |      1,222 |        336 |        263 |      1,821 |       21.57% |
| third-party/osqp/lin_sys/direct/qdldl/qdldl_sources                               |         24 |      1,144 |        409 |        476 |      2,029 |       26.34% |
| user/MIT_Controller/Controllers/VisionMPC                                         |          8 |      1,088 |         62 |        270 |      1,420 |        5.39% |
| robot/src/rt                                                                      |          6 |        999 |        222 |        233 |      1,454 |       18.18% |
| third-party/vectornav/src/vn/sensors                                              |          3 |        996 |        137 |        291 |      1,424 |       12.09% |
| third-party/vectornav/src/vn/xplat                                                |          5 |        965 |         36 |        364 |      1,365 |        3.60% |
| common/src/Controllers                                                            |          7 |        960 |        289 |        198 |      1,447 |       23.14% |
| scripts                                                                           |         22 |        918 |        117 |        252 |      1,287 |       11.30% |
| third-party/osqp/include                                                          |         15 |        841 |        921 |        502 |      2,264 |       52.27% |
| common/include/Dynamics                                                           |          8 |        841 |        398 |        202 |      1,441 |       32.12% |
| common/src/Dynamics                                                               |          3 |        837 |        447 |        208 |      1,492 |       34.81% |
| third-party/ParamHandler/dynacore_yaml-cpp/node/detail                            |          9 |        771 |         24 |        164 |        959 |        3.02% |
| user/MIT_Controller/Controllers/WBC_Ctrl/TaskSet                                  |         20 |        747 |        164 |        225 |      1,136 |       18.00% |
| sim/include                                                                       |         11 |        743 |        169 |        227 |      1,139 |       18.53% |
| scripts/lcm-log2smat                                                              |          6 |        742 |         72 |        178 |        992 |        8.85% |
| lcm_data                                                                          |         10 |        620 |          2 |        102 |        724 |        0.32% |
| lcm_data/matlab_plot                                                              |          8 |        618 |          0 |        100 |        718 |        0.00% |
| third-party/SOEM/oshw/linux                                                       |          4 |        569 |        408 |         90 |      1,067 |       41.76% |
| third-party/SOEM/oshw                                                             |          4 |        569 |        408 |         90 |      1,067 |       41.76% |
| third-party/osqp/docs                                                             |          7 |        551 |      1,724 |        667 |      2,942 |       75.78% |
| third-party/JCQP/amd/include                                                      |          5 |        531 |        487 |        183 |      1,201 |       47.84% |
| common/include/ControlParameters                                                  |          4 |        526 |        229 |         86 |        841 |       30.33% |
| user/MIT_Controller/Controllers/BackFlip                                          |          7 |        495 |         70 |        150 |        715 |       12.39% |
| user/MIT_Controller/Controllers/WBC                                               |          7 |        494 |         90 |        140 |        724 |       15.41% |
| common/src/Utilities                                                              |          6 |        484 |        102 |        111 |        697 |       17.41% |
| common/include/SimUtilities                                                       |          7 |        429 |        191 |        104 |        724 |       30.81% |
| common/include/Controllers                                                        |          8 |        416 |        228 |        129 |        773 |       35.40% |
| third-party/osqp/lin_sys/direct/qdldl/amd/include                                 |          3 |        415 |        435 |        125 |        975 |       51.18% |
| robot/include                                                                     |         12 |        412 |         83 |        136 |        631 |       16.77% |
| common/src/ControlParameters                                                      |          2 |        379 |         76 |         63 |        518 |       16.70% |
| scripts/lcm-log2smat/cmake                                                        |          1 |        363 |          0 |         50 |        413 |        0.00% |
| common/include/Math                                                               |          4 |        362 |        134 |         69 |        565 |       27.02% |
| third-party/osqp/lin_sys/direct/qdldl/qdldl_sources/tests                         |         12 |        361 |         81 |        146 |        588 |       18.33% |
| common/src/Collision                                                              |          6 |        358 |        108 |         78 |        544 |       23.18% |
| user/MIT_Controller/Controllers/WBC/WBIC                                          |          4 |        357 |         83 |        101 |        541 |       18.86% |
| common/src/SparseCMPC                                                             |          3 |        351 |        130 |         99 |        580 |       27.03% |
| third-party/osqp/tests/update_matrices                                            |          3 |        331 |         79 |        118 |        528 |       19.27% |
| third-party/osqp/tests/basic_qp                                                   |          3 |        326 |        119 |        162 |        607 |       26.74% |
| third-party/osqp/tests/lin_alg                                                    |          3 |        307 |         54 |         83 |        444 |       14.96% |
| third-party/inih                                                                  |          4 |        290 |         92 |         66 |        448 |       24.08% |
| third-party/osqp/tests/utils                                                      |          2 |        283 |         84 |         83 |        450 |       22.89% |
